date,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition
2018-01-09,7:53 AM,28 °F,28 °F,100 %,SW,5 mph,0 mph,29.57 in,0.0 in,Fog
2018-01-09,8:32 AM,28 °F,28 °F,100 %,SW,3 mph,0 mph,29.58 in,0.0 in,Fog
2018-01-09,8:53 AM,28 °F,28 °F,100 %,S,7 mph,0 mph,29.59 in,0.0 in,Fog
2018-01-09,9:53 AM,28 °F,28 °F,100 %,SSW,9 mph,0 mph,29.61 in,0.0 in,Fog
2018-01-09,10:16 AM,28 °F,28 °F,100 %,SW,6 mph,0 mph,29.62 in,0.0 in,Fog
2018-01-09,10:37 AM,28 °F,28 °F,100 %,SSW,7 mph,0 mph,29.62 in,0.0 in,Fog
2018-01-09,10:53 AM,29 °F,28 °F,96 %,S,6 mph,0 mph,29.61 in,0.0 in,Fog
2018-01-09,11:53 AM,29 °F,28 °F,96 %,S,5 mph,0 mph,29.60 in,0.0 in,Fog
2018-01-09,12:13 PM,30 °F,28 °F,92 %,SSW,7 mph,0 mph,29.60 in,0.0 in,Fog
2018-01-09,12:29 PM,30 °F,28 °F,92 %,S,7 mph,0 mph,29.60 in,0.0 in,Cloudy
2018-01-09,12:53 PM,30 °F,29 °F,96 %,S,5 mph,0 mph,29.59 in,0.0 in,Cloudy
2018-01-09,1:53 PM,32 °F,29 °F,88 %,SSW,3 mph,0 mph,29.57 in,0.0 in,Cloudy
