id,lat,lon,name,poi_type,h3_res_4,h3_res_6,h3_res_8,census_tract
9654528120,41.7898431,-87.5973713,Starbucks,cafe,842664dffffffff,862664cc7ffffff,882664cc55fffff,17031836200
9657626208,41.9478683,-87.6539966,Wrigley Rooftops,bar,842664dffffffff,862664c17ffffff,882664c161fffff,17031061000
9657684102,41.9476002,-87.6540349,Wrigley Rooftops,bar,842664dffffffff,862664c17ffffff,882664c161fffff,17031061000
9657690140,41.9477833,-87.6539352,Wrigley Rooftops,bar,842664dffffffff,862664c17ffffff,882664c161fffff,17031061000
9672989780,41.8985621,-87.6216302,Francesca's on Chestnut,restaurant,842664dffffffff,862664c1fffffff,882664c1e9fffff,17031081300
9678572780,41.8985869,-87.6204428,Dollop,cafe,842664dffffffff,862664c1fffffff,882664c1e9fffff,17031081300
9696155270,41.8590714,-87.7206471,The SoulFood Lounge,restaurant,842664dffffffff,862664c8fffffff,882664c8c1fffff,17031838700
9698517762,42.0112518,-87.6745699,Jet's Pizza,restaurant,842664dffffffff,862664d8fffffff,882664d813fffff,17031010702
9710169971,41.7952651,-87.5929675,Jet's Pizza,restaurant,842664dffffffff,862664cc7ffffff,882664cc5dfffff,17031410700
9760024285,41.9494975,-87.6585909,Raw Bar,restaurant,842664dffffffff,862664c17ffffff,882664c161fffff,17031061100
9768543726,41.9345749,-87.7167371,Loaf Lounge,cafe,842664dffffffff,862664ca7ffffff,882664ca03fffff,17031210602
9790646299,41.9172133,-87.7112472,Tacos Loteria,restaurant,842664dffffffff,862664ca7ffffff,882664ca3bfffff,17031222700
9800255758,41.9033478,-87.6784856,Meraki Room,restaurant,842664dffffffff,862664cafffffff,882664cac1fffff,17031241400
9826037118,41.8370431,-87.7234951,El Faro,restaurant,842664dffffffff,862664c8fffffff,882664c88bfffff,17031301702
9828709966,41.8899931,-87.6249748,Lou Malnati's Pizzeria,restaurant,842664dffffffff,862664c1fffffff,882664c1e3fffff,17031081500
9837527417,41.8858683,-87.6440648,Kumiko,bar,842664dffffffff,862664c1fffffff,882664cadbfffff,17031280100
9841208647,42.0117395,-87.6742983,Nueva Italy Pizzeria,restaurant,842664dffffffff,862664d8fffffff,882664d813fffff,17031010702
9892246065,41.995439,-87.7125178,Shibam by Devon,restaurant,842664dffffffff,862664d9fffffff,882664d9dbfffff,17031130100
